id,"Avaliação/10,00","P. 1 /0,77","P. 2 /0,77","P. 3 /0,77","P. 4 /0,77","P. 5 /0,77","P. 6 /0,77","P. 7 /0,77","P. 8 /0,77","P. 9 /0,77","P. 10 /0,77","P. 11 /0,77","P. 12 /0,77","P. 13 /0,77"
6 minutos 51 segundos,"9,23","0,77","0,77","0,77","0,77","0,00","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77"
3 minutos 1 segundo,"7,54","0,77","0,77","0,77","0,77","0,26","0,26","0,77","0,77","0,62","0,00","0,26","0,77","0,77"
15 minutos 37 segundos,"7,90","0,77","0,77","0,77","0,77","0,00","0,26","0,77","0,77","0,46","0,77","0,26","0,77","0,77"
14 minutos 45 segundos,"7,71","0,00","0,77","0,77","0,77","0,26","0,26","0,77","0,77","0,46","0,77","0,77","0,58","0,77"
3 minutos 5 segundos,"6,06","0,00","0,77","0,00","0,58","0,00","0,77","0,77","0,77","0,62","0,00","0,26","0,77","0,77"
7 minutos 16 segundos,"6,86","0,77","0,26","0,77","0,77","0,26","0,00","0,77","0,00","0,77","0,77","0,77","0,19","0,77"
10 minutos 42 segundos,"8,72","0,77","0,77","0,77","0,77","0,00","0,77","0,77","0,77","0,77","0,77","0,26","0,77","0,77"
6 minutos 36 segundos,"7,87","0,77","0,77","0,00","0,58","0,26","0,77","0,77","0,77","0,31","0,77","0,77","0,58","0,77"
10 minutos 46 segundos,"9,49","0,77","0,77","0,77","0,77","0,26","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77"
7 minutos 46 segundos,"7,41","0,77","0,77","0,77","0,77","0,00","0,00","0,77","0,77","0,62","0,77","0,26","0,38","0,77"
6 minutos 34 segundos,"8,46","0,77","0,77","0,77","0,77","0,00","0,00","0,77","0,77","0,77","0,77","0,77","0,77","0,77"
4 minutos 46 segundos,"7,95","0,77","0,77","0,77","0,77","0,00","0,26","0,77","0,77","0,77","0,77","0,77","0,00","0,77"
15 minutos 17 segundos,"8,56","0,77","0,77","0,77","0,77","0,00","0,26","0,77","0,77","0,62","0,77","0,77","0,77","0,77"
15 minutos 17 segundos,"9,23","0,77","0,77","0,77","0,77","0,00","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77"
11 minutos 4 segundos,"5,08","0,77","0,26","0,00","0,58","0,26","0,00","0,38","0,77","0,46","0,77","0,26","0,58","0,00"
4 minutos 30 segundos,"7,87","0,77","0,77","0,77","0,77","0,00","0,26","0,77","0,77","0,31","0,77","0,77","0,38","0,77"
7 minutos 25 segundos,"8,21","0,77","0,77","0,77","0,77","0,26","0,26","0,77","0,77","0,77","0,77","0,77","0,00","0,77"
6 minutos 34 segundos,"7,64","0,00","0,77","0,77","0,77","0,26","0,77","0,77","0,77","0,46","0,00","0,77","0,77","0,77"
26 minutos,"6,67","0,77","0,26","0,77","0,77","0,00","0,00","0,77","0,77","0,77","0,00","0,26","0,77","0,77"
1 minuto 50 segundos,"5,77","0,00","0,26","0,00","0,38","0,26","0,77","0,77","0,77","0,77","0,00","0,26","0,77","0,77"
2 minutos 4 segundos,"7,28","0,77","0,26","0,77","0,77","0,00","0,77","0,77","0,77","0,62","0,00","0,26","0,77","0,77"
2 minutos 17 segundos,"7,95","0,77","0,26","0,77","0,77","0,00","0,77","0,77","0,77","0,77","0,00","0,77","0,77","0,77"
,"7,70","0,63","0,63","0,63","0,73","0,10","0,43","0,75","0,73","0,64","0,52","0,56","0,61","0,73"
