id,"Avaliação/10,00","P. 1 /0,77","P. 2 /0,77","P. 3 /0,77","P. 4 /0,77","P. 5 /0,77","P. 6 /0,77","P. 7 /0,77","P. 8 /0,77","P. 9 /0,77","P. 10 /0,77","P. 11 /0,77","P. 12 /0,77","P. 13 /0,77"
3 minutos 52 segundos,"9,49","0,77","0,26","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77"
2 minutos 45 segundos,"9,29","0,77","0,77","0,77","0,58","0,26","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77"
4 minutos 26 segundos,"8,56","0,77","0,77","0,77","0,77","0,00","0,77","0,77","0,77","0,62","0,77","0,26","0,77","0,77"
7 minutos 11 segundos,"7,79","0,77","0,77","0,00","0,77","0,00","0,26","0,77","0,77","0,62","0,77","0,77","0,77","0,77"
2 minutos 25 segundos,"9,49","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,26","0,77","0,77"
4 minutos 46 segundos,"9,23","0,77","0,77","0,77","0,77","0,00","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77"
5 minutos 44 segundos,"8,72","0,77","0,77","0,77","0,77","0,26","0,77","0,77","0,77","0,77","0,00","0,77","0,77","0,77"
2 minutos 2 segundos,"8,72","0,77","0,77","0,77","0,77","0,00","0,77","0,77","0,77","0,77","0,77","0,26","0,77","0,77"
5 minutos 20 segundos,"8,82","0,77","0,26","0,77","0,77","0,26","0,77","0,77","0,77","0,62","0,77","0,77","0,77","0,77"
5 minutos 22 segundos,"9,23","0,77","0,77","0,77","0,77","0,00","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77"
3 minutos 9 segundos,"7,45","0,00","0,77","0,77","0,77","0,00","0,26","0,77","0,77","0,46","0,77","0,77","0,58","0,77"
4 minutos 10 segundos,"5,15","0,77","0,26","0,77","0,38","0,26","0,00","0,19","0,77","0,15","0,00","0,26","0,58","0,77"
4 minutos 42 segundos,"8,37","0,77","0,77","0,77","0,77","0,00","0,77","0,77","0,77","0,62","0,77","0,26","0,58","0,77"
6 minutos 22 segundos,"8,21","0,77","0,77","0,77","0,77","0,26","0,26","0,77","0,77","0,77","0,77","0,77","0,00","0,77"
2 minutos 8 segundos,"9,23","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,00","0,77","0,77"
2 minutos 7 segundos,"9,10","0,77","0,77","0,77","0,38","0,77","0,77","0,77","0,77","0,77","0,77","0,26","0,77","0,77"
2 minutos 33 segundos,"9,49","0,77","0,77","0,77","0,77","0,26","0,77","0,77","0,77","0,77","0,77","0,77","0,77","0,77"
,"8,61","0,72","0,68","0,72","0,71","0,27","0,63","0,74","0,77","0,68","0,68","0,54","0,69","0,77"
